Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Inflation Rate,2019-11-30T00:00:00,2.1,Monthly,CPI YOY,2020-01-14T13:30:00
United States,Inflation Rate,2019-12-31T00:00:00,2.3,Monthly,CPI YOY,2020-02-13T13:30:00
United States,Inflation Rate,2020-01-31T00:00:00,2.5,Monthly,CPI YOY,2020-03-11T12:30:00
United States,Inflation Rate,2020-02-29T00:00:00,2.3,Monthly,CPI YOY,2020-04-10T12:30:00
United States,Inflation Rate,2020-03-31T00:00:00,1.5,Monthly,CPI YOY,2020-05-12T12:30:00
United States,Inflation Rate,2020-04-30T00:00:00,0.3,Monthly,CPI YOY,2020-06-10T12:30:00
United States,Inflation Rate,2020-05-31T00:00:00,0.1,Monthly,CPI YOY,2020-07-14T12:30:00
United States,Inflation Rate,2020-06-30T00:00:00,0.6,Monthly,CPI YOY,2020-08-12T12:30:00
United States,Inflation Rate,2020-07-31T00:00:00,1,Monthly,CPI YOY,2020-09-11T12:30:00
United States,Inflation Rate,2020-08-31T00:00:00,1.3,Monthly,CPI YOY,2020-10-13T12:30:00
United States,Inflation Rate,2020-09-30T00:00:00,1.4,Monthly,CPI YOY,2020-11-12T13:30:00
United States,Inflation Rate,2020-10-31T00:00:00,1.2,Monthly,CPI YOY,2020-12-10T13:30:00
United States,Inflation Rate,2020-11-30T00:00:00,1.2,Monthly,CPI YOY,2021-01-13T13:30:00
United States,Inflation Rate,2020-12-31T00:00:00,1.4,Monthly,CPI YOY,2021-02-10T13:30:00
United States,Inflation Rate,2021-01-31T00:00:00,1.4,Monthly,CPI YOY,2021-03-10T13:30:00
United States,Inflation Rate,2021-02-28T00:00:00,1.7,Monthly,CPI YOY,2021-04-13T12:30:00
United States,Inflation Rate,2021-03-31T00:00:00,2.6,Monthly,CPI YOY,2021-05-12T12:30:00
United States,Inflation Rate,2021-04-30T00:00:00,4.2,Monthly,CPI YOY,2021-06-10T12:30:00
United States,Inflation Rate,2021-05-31T00:00:00,5,Monthly,CPI YOY,2021-07-13T12:30:00
United States,Inflation Rate,2021-06-30T00:00:00,5.4,Monthly,CPI YOY,2021-07-13T12:30:00
United States,Inflation Rate,2021-07-31T00:00:00,5.4,Monthly,CPI YOY,2021-09-14T12:30:00
United States,Inflation Rate,2021-08-31T00:00:00,5.3,Monthly,CPI YOY,2021-10-13T12:30:00
United States,Inflation Rate,2021-09-30T00:00:00,5.4,Monthly,CPI YOY,2021-11-10T13:30:00
United States,Inflation Rate,2021-10-31T00:00:00,6.2,Monthly,CPI YOY,2021-12-10T13:30:00
United States,Inflation Rate,2021-11-30T00:00:00,6.8,Monthly,CPI YOY,2022-01-12T13:30:00
United States,Inflation Rate,2021-12-31T00:00:00,7,Monthly,CPI YOY,2022-02-10T13:30:00
United States,Inflation Rate,2022-01-31T00:00:00,7.5,Monthly,CPI YOY,2022-03-10T13:30:00
United States,Inflation Rate,2022-02-28T00:00:00,7.9,Monthly,CPI YOY,2022-04-12T12:30:00
United States,Inflation Rate,2022-03-31T00:00:00,8.5,Monthly,CPI YOY,2022-05-11T12:30:00
United States,Inflation Rate,2022-04-30T00:00:00,8.3,Monthly,CPI YOY,2022-06-10T12:30:00
United States,Inflation Rate,2022-05-31T00:00:00,8.6,Monthly,CPI YOY,2022-07-13T12:30:00
United States,Inflation Rate,2022-06-30T00:00:00,9.1,Monthly,CPI YOY,2022-08-10T12:30:00
United States,Inflation Rate,2022-07-31T00:00:00,8.5,Monthly,CPI YOY,2022-09-13T12:30:00
United States,Inflation Rate,2022-08-31T00:00:00,8.3,Monthly,CPI YOY,2022-10-13T12:30:00
United States,Inflation Rate,2022-09-30T00:00:00,8.2,Monthly,CPI YOY,2022-10-13T12:30:00
United States,Inflation Rate,2022-10-31T00:00:00,7.7,Monthly,CPI YOY,2022-12-13T13:30:00
United States,Inflation Rate,2022-11-30T00:00:00,7.1,Monthly,CPI YOY,2023-01-12T13:30:00
United States,Inflation Rate,2022-12-31T00:00:00,6.5,Monthly,CPI YOY,2023-02-14T13:30:00
United States,Inflation Rate,2023-01-31T00:00:00,6.4,Monthly,CPI YOY,2023-03-14T12:30:00
United States,Inflation Rate,2023-02-28T00:00:00,6,Monthly,CPI YOY,2023-04-12T12:30:00
United States,Inflation Rate,2023-03-31T00:00:00,5,Monthly,CPI YOY,2023-05-10T12:30:00
United States,Inflation Rate,2023-04-30T00:00:00,4.9,Monthly,CPI YOY,2023-07-19T08:16:00
